node,ARBid,old.pa.node,old.ARBname,Genbank.ID,clade,RDP.taxonomy,Kingdom,Phylum,Order,Family,Genus,Species,Strain
0,UncM5907,1716,UncM9980,EU650264,Thermoplasmata,"Archaea;""Euryarchaeota"";Thermoplasmata;unclassified_Thermoplasmata;",Archaea,Euryarchaeota,Thermoplasmata,unclassified_Thermoplasmata,,,
1,Unc028bj,1695,Unc04iu2,AF356633,Archaea,"Archaea;""Euryarchaeota"";Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;",Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,
2,Unc01raf,1736,Unc03ul8,FJ640802,Archaea,Archaea;unclassified_Archaea;,Archaea,unclassified_Archaea,,,,,
3,Unc0289v,1694,Unc04j2n,EF586031,Bacteria,"Bacteria;""Thermotogae"";Thermotogae;Petrotogales;Petrotogaceae;Defluviitoga;",Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,
4,OlnTmbo7,1600,OlsUmbo5,AJ251324,Bacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Coriobacteridae;Coriobacteriales;""Coriobacterineae"";Coriobacteriaceae;Olsenella;",Bacteria,"""Actinobacteria""",Actinobacteria,Coriobacteridae,Coriobacteriales,"""Coriobacterineae""",Coriobacteriaceae;Olsenella;
2906,UncFl617,1891,UncFl728,FJ744887,Cryomorphaceae_3,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2907,UncFla19,1889,UncFla10,FJ745151,Cryomorphaceae_3,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;Phaeocystidibacter;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Phaeocystidibacter,
2908,UncM5887,1888,Unc04izp,DQ009083,Cryomorphaceae_3,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;Phaeocystidibacter;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Phaeocystidibacter,
2909,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2910,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2911,UncM6010,1982,UncM3840,DQ009476,NS9 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";unclassified_""Flavobacteriales"";",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,"unclassified_""Flavobacteriales""",,
2912,UncM6014,1983,UncM3810,DQ009089,NS9 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";unclassified_""Flavobacteriales"";",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,"unclassified_""Flavobacteriales""",,
2913,UncM2883,1984,UncM4294,DQ906734,NS9 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";unclassified_""Flavobacteriales"";",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,"unclassified_""Flavobacteriales""",,
2914,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2915,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2916,UncM4057,1886,Unc04j42,KX933931,Cryomorphaceae_3,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2917,UniMar66,1885,UniMa879,L10946,Cryomorphaceae_3,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2918,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2919,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2920,OweHongk,1884,OwnHong3,AB125062,Cryomorphaceae_3,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;Owenweeksia;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,
2921,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2922,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2923,UncM2984,1881,UncM4301,DQ906723,NS9 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";unclassified_""Flavobacteriales"";",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,"unclassified_""Flavobacteriales""",,
2924,UncM5874,1882,Unc04ixw,EU010146,NS9 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2925,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2926,UncFl614,1879,UncFl725,AM279172,Flavobacteriales,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2927,UncM2319,1878,UncM3825,DQ009080,Flavobacteriales,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2928,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2929,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2930,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2931,UncM6012,1989,UncM3826,DQ009095,Fluviicola,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2932,UncFl609,1990,UncFl720,AM279199,Fluviicola,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2933,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2934,UncFl619,1988,UncFl181,AM279189,Crocinitomicaceae,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Cryomorphaceae;unclassified_Cryomorphaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified_Cryomorphaceae,
2935,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2936,UncFl608,1987,UncFl719,AM279178,Flavobacteriales,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";unclassified_""Flavobacteriales"";",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,"unclassified_""Flavobacteriales""",,
2937,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2938,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2939,Unc02851,1980,Unc04iwe,AY959089,Bacteroidia,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Elizabethkingia;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia,
2940,NnlSpec2,1975,NnlSpe10,FJ196015,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Nonlabens;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,
2941,J4TAtla3,1976,C99Atlan,CP002046,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Croceibacter;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,
2942,AeqSpe11,1972,AeqSpe10,AM403205,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Vitellibacter;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Vitellibacter,
2943,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2944,FaoBact8,1947,FlcBac11,DQ073100,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Gramella;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,
2945,CytSpe56,1904,CytSpe61,EF512130,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Leeuwenhoekiella;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,
2946,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2947,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2948,UncFl215,1895,UncFl646,EU283516,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;unclassified_Flavobacteriaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae,
2949,MyrOdo50,1896,MydOdo43,EU660317,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Myroides;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,
2950,Unc28677,1897,Unc02396,EF516848,Flavobacterium_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Flavobacterium;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
2951,FlaSp658,1898,FlaSp316,EF523606,Flavobacterium_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Flavobacterium;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
2952,FlaSp657,1899,FlaS1086,AB426577,Flavobacterium_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Flavobacterium;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
2953,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2954,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2955,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2956,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
2957,GelSpeci,1905,GelSpec8,FJ196005,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;unclassified_Flavobacteriaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae,
2958,UncM2505,1948,UncM3813,DQ009114,Flavobacteriaceae_1,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;Gramella;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,
2959,UncFl137,1957,UncFl163,AM279180,NS5 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;unclassified_Flavobacteriaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae,
2960,UncM5861,1955,Unc04iwk,DQ009088,NS5 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;unclassified_Flavobacteriaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae,
2961,UncFl134,1954,UncFl182,AM279211,NS5 marine group,"Bacteria;""Bacteroidetes"";Flavobacteriia;""Flavobacteriales"";Flavobacteriaceae;unclassified_Flavobacteriaceae;",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae,
2962,Intnode,,,,,,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,,,
